glosa,english
agri-lo 1++,farm 
agri-pe 1++,farmer; agricultural labourer 
agri-vegeta,crop 
plu agri-zoa 1++,cattle 
agrikultura 1++,agriculture 
agrio 1++,wild; savage 
agronomi G,agronomy 
"agrosti (=grasti, prefer gra) GX",grass 
agueri,inure to war 
agulia,needle 
ailuro G,cat 
aito G,burnt brown 
akademi *1+G,academy 
akalifa G,nettle 
akanta 1G,thorn; spine 
akaris G,mite 
akazio G,sharp 
akidi 1++,acid; sour; acute 
akini,berry; grape 
aklama,acclaim 
akme G,point 
ako G,remedy 
akomoda,adapt; adjust 
akompani,accompany 
akorda 1++,according to; agree; accord; acknowledge; consent; harmonize; league; match (v); treaty; unanimous; undertake; uphold 
akorda-co,accordingly 
akosta,accost 
akostuma,accustom 
akrido,grasshopper 
akrimoni,acrimony 
akro 1++G,top (highest point); climax; end; peak; point (sharp); summit; tip (top) 
akro-digi 1+,tiptoe 
akrobata (=akrobati) X,acrobat 
akrobati 1+G,acrobat 
akti 1++,act; do; behave; accomplish; action; active; commit; deed; does (form of to do); doing (participle of to do); perform; performance; take action; transact 
plu akti 1+,manners 
akti ma boni de 1++,excel 
akti mali 1++,insult; offence; offend; offense 
akti rapidi 1,hurry; make haste 
akti-seqe,procedure 
akti-verba 1+,verb 
akti-verbi (=akti-verba) X,verb 
aktivi 1++,active; busy; brisk 
aktivi pro 1,enthusiastic 
aktua,actuate 
aktuali,actual 
aku 1++,nail; needle; pin; prick (v); splinter; tack 
aku lito 1+,crag 
akulea,sting; thorn 
akumina,sharpen 
akumula,accumulate 
akusa +,accuse 
akusti 1G,hear; acoustic; acoustical; acoustics; listen; hark 
akuto 1++,"sharp; sharpen; shrill; acid (""sharp"" taste); sour (""sharp"" taste) "
ala 1,wing 
ala-ana 1,soar 
alago G,exchange 
alakri,brisk; crisp; eager; keen 
alanto G,sausage 
alarma,alarm 
alba,dawn 
"alba (=albi, prefer leuko) 1X",white 
albi (prefer leuko) 1,white 
albino,albino 
album 1+,album 
albumini,albumen 
alega,allege 
alegro 1++,cheerful; jolly; merry 
alektrio G,cock 
aleli (=alelo) 1XG,each other 
alelo 1++G,each other; mutual 
alerta,alert 
aleto G,true 
aleuro G,flour 
alevia,alleviate 
alexi 1++G,defence; defend; defense; guard; look after; protect; protective; safeguard; watch over 
alexi grega 1,patrol 
alexi ki ko 1,escort 
alexi-baci 1,bumper 
alexi-digi 1,thimble 
alexi-grega 1,garrison 
alexi-kefa-ve 1+,helmet 
alexi-pe 1G,sentry 
alexi-ve 1G,apron; overalls; protective clothing 
alfa G,alpha 
alfa-beta +G,alphabet 
alfabeti (=alfa-beta) 1XG,alphabet 
alfito G,barley flour 
alga G,alga 
algesia G,feeling 
(-)algia G,pain 
algido G,cold 
algo 1++G,pain; ache; -algia; grief; hurt; painful; sore; suffering 
algo soni 1+,groan; moan 
algo-voci 1+,whine 
ali 1++,any (whatever); whatever (any) 
ali kron 1++,ever (at any time); any time 
ali-kron 1++,whenever 
ali-lo 1++,anywhere; wherever (adverb) 
ali-mode 1++,"anyhow (anyway); anyway (anyhow); however (adverb, =in whatever way) "
ali-pe 1++,anyone (whoever); whoever (anyone) 
ali-ra 1++,anything (of every item you care to choose); whatever; whichever 
alia,other things 
alias,otherwise 
alibi,elsewhere 
aliena 1,alien; foreign; strange 
aliena-pe,foreigner 
aliga,attach 
aligato,alloy 
aligatora 1,alligator 
alimenta 1,feed; food; nourish 
alimenta-avi,fowl 
alinea,align 
alitera,alliterate 
Alium 1G,garlic 
alkoholi 1++,alcohol; spirit (alcohol) 
alkova,alcove; recess (alcove) 
almanak,almanac 
almo G,alms 
alnus,alder tree 
alo 1++,or; alternative; either 
alo ... alo 1++,either ... or 
plu alo di 1,every other day 
alo-medika 1,complimentary medicine 
Aloda 1,lark 
alopecia (prefer vulpes) G,fox 
alora 1+,in that case ; therefore 
alotropi G,allotrope 
Alpi,Alps 
Alsacia,Alsace 
Alt klavi,Alt key (computer) 
alteo G,cure 
altera,change 
alterka 1,quarrel; argue; discuss; dispute 
alterna 1++,alternate; although; else 
altero,other 
altes,Highness 
alti 1++,altitude; high; aloft; height; lofty; tall 
alti an-voka 1,tenor 
alti landa 1,moor; upland 
alti-lo 1+,pulpit 
alti-soni,high sound 
altitudi (take alti) X,altitude 
altruismo G,altruism 
alude,allude 
aluminium,aluminium 
aluvia,clay 
alve,pit; trough 
alveola,cavity (small) 
amalgama,amalgam 
amari 1,bitter; harsh 
"amasa (=kumu, masi) X",amass 
"amaso (=kumu, masi) X",crowd; mass 
amateuri,amateur 
ambasadora 1++,ambassador 
ambi (alternative: pan or bi) 1+,both 
ambi- 1+,(prefix:) both; both (prefix) 
ambienta 1+,environment; atmosphere; setting (environment) 
ambiguo,ambiguous 
ambiti,action rage; moving around perimeter 
ambitio,ambitious 
amblio G,blunt (not sharp); dull (not sharp); dull (not strong) 
ambra G,amber 
ambrosia G,ambrosia 
ambroto G,immortal 
ambula 1++,amble; stroll; walk; walking 
amen 1,amen 
amenti,strap 
"amfi (prefer ambi, or pan, bi) G",both 
amfi- G,(prefix:) both sides; both sides (prefix) 
amfibio G,amphibious 
amfiteatra G,amphitheatre 
amfora G,jar 
ami 1++,friend; amiable; comrade; friendly; kind (friendly); lovable; warm (friendly) 
amigda 1+G,almond 
amika (prefer ami) X,friendly 
amika-ra,friendliness 
amikto,frilled 
amila 1+G,starch; meal 
amita,aunt 
amnesi G,forget 
amni,stream (n) 
amnio 1,sheep; ewe 
amo 1++,love; like (love); affection; approve; approval; kindness; mercy; warm (friendly) 
amo (=sili) GX,sand 
amo-pe 1+,amateur 
amoebo G,changing 
amonta,amount 
amoreta,flirtation 
amorfo 1++G,clod; lump; shapeless 
amoro,love 
amorti,deaden 
ampelo G,vine (plant) 
Ampere,Ampere 
amplexi 1+,embrace; clasp (v); comprise 
ampli,ample 
amplifi,amplify 
amplituda,amplitude 
ampula 1,bottle; flask 
amputa,amputate 
amusa 1++,amuse; amusement; entertain; funny 
amusa-ra 1++,entertainment 
an 1++G,he; him; his; male; masculine 
an- 1++G,(prefix:) male; male (prefix) 
an- (prefer ne-) 1G,(prefix:) not; not (prefix); un- 
an-anseri 1,gander 
an-bovi 1,bull (ox); ox 
an-Cervus 1+,buck (n); stag 
an-duka 1,duke 
an-elefa 1,bull (elephant) 
an-fili 1++,son 
an-galina 1++,cockerel; rooster 
an-iso G,unequal 
an-kani 1,dog (male) 
an-maestro 1,master (artist) 
an-ovi 1,ram 
an-princa (=an-prince) 1X,prince 
an-prince 1+,prince 
an-regi 1++,king 
an-sibi 1++,brother 
an-sponsa 1++,husband 
an-vidua 1,widower 
ana 1++G,upwards; rise (go up); up 
ana e kata de mari 1+,tide 
ana kata 1,upside down 
ana- 1+G,(prefix:) upwards; upwards (prefix) 
anaerobi G,anaerobe 
anagrama G,anagram 
anakrono G,anachronous 
analfabeti G,illiterate 
analgesia G,analgesia 
analisi G,analyse 
analogi G,analogy; analog; analogue; analogous 
Ananas 1+,pineapple 
anarki G,anarchy 
anas 1++,duck (animal) 
anas-ki 1,waddle 
anastasia G,resurrection 
anatema G,anathema 
anatola G,east 
anatomi G,anatomy 
ancestra 1,ancestor 
ancila,slave 
andante,rather slow 
andro 1++G,man; gentleman; husband 
plu andro 1,men 
andro patri 1,father-in-law 
androgina G,hermaphrodite 
aneimo G,naked 
anekdota G,anecdote 
anemo 1G,wind (air) 
anestesia G,not feeling 
anexa,annex 
anfraktuo,winding 
angeli 1++G,angel; messenger 
angio G,box; vessel 
Anglo (=English) 1X,English 
angui,snake 
anguila,eel 
angula 1,angle; corner; vertex 
angusti 1,narrow 
angustia,anguish 
anhelo,gasp; pant 
anhidro G,without water 
anigo G,open (adj); open (v); opened 
anihila,annihilate 
anima 1+,soul; spirit (soul); mind (n) 
animadversi,animadvert 
animala (prefer zoa) 1,animal; beast 
"animali (=animala, prefer zoa) 1X",animal; beast 
animaliza,brutalize 
aniversari +,anniversary 
ankilo G,crooked 
ankira G,anchor 
ankistro G,hook; fish-hook; fishing-hook 
anko G,choke 
ankora 1++,still (yet); yet 
ankora (=ankira) 1XG,anchor 
anomalo G,anomalous 
anonimo G,anonymous 
anota,annotate 
ansa,cup-handle 
ansato,akimbo 
ansera (=Anseri) X,goose 
Anseri 1+,goose 
antagoni G,antagonize 
antarktika 1,antarctic 
ante 1++,ahead; before (place); fore; front; in front 
ante meso-di (=pre meso-di) 1X,a. m.; AM; am (time); ante meridiem; before noon 
ante- 1+,(prefix:) before (place); before (place)(prefix); (prefix:) front; front (prefix) 
ante-kamera,waiting room 
antedata,antedate 
antemeridia (prefer pre meso-di),a. m.; AM; am (time); ante meridiem; before noon 
antena 1+,antenna; feeler 
antero,front; in front 
anti 1++G,against; although; despite; hinder; hostile; in spite of; oppose; though; versus 
anti- 1+G,(prefix:) against; against (prefix) 
anti-aqa 1,waterproof 
anti-aqa-te 1,tarpaulin 
anti-co 1++,although; but; however (=although it was so); nevertheless; though 
anti-ergo 1++,lazy 
anti-fobo 1,brave; courage; valiant 
anti-grega 1,opposition party 
anti-krati 1++,rebel; revolt; treason 
anti-lega 1++,illegal; crime; criminal (adj) 
anti-lega-pe 1,criminal (n) 
anti-pe 1++,enemy; foe; opponent 
antikoncepti,contraception 
antiqa 1,old-fashioned 
antiqi 1,ancient 
anto (prefer flori) 1G,bloom; flower 
antologi G,anthology 
antonima G,antonym 
antraki 1G,coal 
antro (prefer kaverno or kavita) G,cave; cavity 
antropo 1+G,human being; human race; mankind 
antropoida G,anthropoid 
anua 1++,year; annual; yearly 
anula 1,circle; circular; ring (circular band) 
anunci (=nunci) 1X,announce; publish 
anuncia (=nunci) 1X,announce 
anxio 1++,anxiety; anxious; fret; fuss; haggard; uneasiness; uneasy 
aorta G,aorta 
apaci,appease 
aparata (prefer ru/instrumenta),apparatus; tackle (n) 
"aparatu (=aparatu, prefer ru/instrumenta) X",apparatus; tackle (n) 
apare 1,appear 
apartamenta +,apartment; flat (apartment) 
apendici 1,appendix 
aperi 1++,open (adj); open (v) 
aperi u fenestra,open a window (also computer) 
aperi unio 1,open a meeting 
apeti 1,appetite; desire 
apetiti 1+,appetite 
api (=apis) 1X,bee 
Api soni (=apis soni) 1X,hum 
api-do (=apis-do) 1X,hive 
apika (prefer akro),apex; top (highest point) 
apis 1++,bee 
apis soni 1*,hum 
apis-do 1,hive 
Apium 1,celery 
aplane G,fixed 
aplaude (prefer lauda),applaud 
aplika 1+,apply 
apo 1++G,apart; away; remove; delete (computer); erase; pull out; skim; snatch away; subtract; take away; tear out; un-; whisk 
apo algo 1,relief (lessening of pain) 
apo trika-pe 1,barber 
apo- 1+G,(prefix:) away; away (prefix); (prefix:) remove; remove (prefix) 
apo-landa,abroad 
Apodida 1+,swift (bird) 
apologi 1+G,apologize 
apoplexi 1G,stroke 
aporta,bring 
apostasi G,apostate 
apostola 1G,apostle 
apostrofi G,apostrophize 
apreci 1+,appreciate 
aprehende,grasp 
aprende,learn 
apri (=aperi) X,open (adj); open (v) 
apri u fenestra (=aperi u fenestra) X,open a window (also computer) 
Aprili (prefer meno tetra) 1,April 
aproba,approval; approve 
aproca,approach 
aprovisio,supply 
apsi G,knot; node 
apti,suitable 
apunkta,appoint 
aqa 1++,water (n); irrigate; liquid; soak; water (v); wet 
aqa (prefer liqi) 1,liquid 
aqa botilia 1,water-bottle 
aqa tera 1,marsh 
aqa-kade 1+,cataract; waterfall 
aqa-landa 1,swamp 
aqa-va 1+,cistern; pitcher; tank; watering-can 
aqarela,aquarelle; water-color; water-colour 
aqieske,acquiesce 
aqila 1+,eagle 
aqire,acquire 
ara 1+,plough; plow; arable 
Arakis 1+,peanut 
arakna (=arakni) GX,spider 
arakni 1+G,spider 
arakni-reti 1+,spider-web 
arane (=arakni-reti) 1X,spider-web 
aranea,spider 
aranea-reti (=arakni-reti) 1X,spider-web 
arange,arrange 
arbitra,judge (v) 
arbori 1,tree 
arbusta,shrub 
arca 1++,arch (archway); archway 
arde 1,burn (v); burning 
arde minus flama (=piro minus flama) 1X,smoulder 
Ardea,heron 
ardenta 1,keen 
ardi (=arde) 1X,burn (v) 
arduo,very difficult 
area 1++,area; domain; pitch; plot (ground); region 
area de landa 1,tract 
arena 1++,sand; arena 
areo G,thin 
aresta,arrest 
areto,virtue 
argenti 1++,silver 
argila 1,clay; mud 
argili (=argila) 1X,clay; mud 
argiro G,silver 
argot,slang 
argu 1,argue; discuss; dispute 
argumenta +,argument 
arguto (prefer akuto),shrill 
ari,dry (v) 
aria,aria 
aridi 1,arid; dry 
aridi-lo (prefer sika-lo),desert (waterless land) 
arista,beard of corn 
aristo G,best 
aristo-pe,aristocrat; nobleman 
ariteno G,ladle-shaped 
aritme 1G,number; figure (numeral); count 
aritmetika 1G,arithmetic 
ariva,arrival; arrive 
arka 1,ark 
arka 1+,"arc (of circle, maths); bow (n) "
arkeo (prefer paleo) 1,ancient 
arkeo- (prefer paleo-) G,(prefix:) ancient; ancient (prefix) 
arki 1++G,chief; official (adj); authority; govern; rule (authority) 
arki episkopa 1G,archbishop 
arki tekti (=arkitekto) 1GX,architect 
arki- 1+G,(prefix:) rule (authority); rule (authority)(prefix) 
arkio G,net; toils 
arkitekto *G,architect 
arko (=arki) 1GX,official (adj) 
arkti G,bear (animal) 
arktika 1G,arctic 
arkto,compress 
arma 1++,arm (v); weapon; armor; armour; arms 
armatura,armour 
arme 1++,army 
aroga 1++,arrogant; arrogance; haughty; haughtiness; vain 
aroganta (=aroga) X,arrogant 
aroma 1+G,aroma; odor; odour; smell 
arteri G,artery 
arti 1++,art; ability; capable; skill 
arti-pe 1+,artist; expert (n) 
artificia,artificial 
artikla 1++,article 
artikula,articulate; speak clearly 
artikula (prefer artri) 1,joint; juncture 
artisana,artisan 
artisti (=arti-pe) 1X,artist 
arto 1G,bread 
artri 1++G,joint; juncture 
arundus,reed 
arvensis,cultivated 
asalta,attack 
asasina,assassinate 
asbolo G,soot 
ase,ace 
asembli,assembly 
asenti,assent 
aserti +,assert; assertive 
aseso,assess 
asevera,aserti 
Asia venti 1,monsoon 
asiduo,assiduous 
asigna,assign 
asila (=asilu) 1XG,asylum; harbor; harbour; haven; refuge; safe place; shelter 
asilu 1++G,asylum; harbor; harbour; haven; port (harbour); refuge; safe place; shelter 
asimetri G,asymmetry 
asimila,assimilate 
asini (=asinus) 1X,ass (animal); donkey 
asinu (=asinus) X,ass (animal); donkey 
asinus 1+,ass (animal); donkey 
asista,help 
aska 1G,bag; purse; sack 
askende,ascend 
asketi,ascetic 
aski (=aska) GX,bag 
asko (=aska) 1GX,bag; purse; sack 
"askolta (Italian, take audi) X",listen 
askribe,ascribe 
asocia 1++,associate; ally (v); ally (state); ally (person); association; partner 
asorti,assort 
aspekti (=aspekto) X,aspect 
aspekto 1+,aspect; semblance 
asperge,sprinkle 
asperi 1+,rough; coarse; gross; harsh; rugged 
aspi 1,shield (n); folding screen 
aspira,aspire 
aspro G,white 
astakus G,crayfish 
Astarte G,Astarte (Phoenician goddess of love) 
asteni G,weak 
astibo G,untrodden 
astma 1+G,asthma; pant; panting 
astorgo G,cruel 
astrape G,lightning 
astringe,draw together 
astro 1++G,star 
asula,chip; splinter 
asume 1+,assume 
asura (=sura) 1X,assure; certain; confidence; confident 
atako,attack 
atavismo,atavism 
ataxia G,disorder 
ateisti G,atheist 
atekno G,unskillful 
atele G,defect 
atenda (=atende) 1X,await; delay; wait; waiting 
atende 1++,wait; await; delay; expect; hope; waiting 
atende kon entusi,be looking forward to 
atende-ka 1+,waiting room 
atentio 1,care; careful 
atento,attend; attendance; attention 
atenua,make thinner 
atero G,ear of corn 
atesta,testify 
atesta-ra,testimony 
ateta,suckle 
atifo G,modest 
atikto G,undone 
atimo G,faint-hearted 
atinge,attain 
atitude 1+,attitude; character (nature); disposition; mood; nature (characteristics); temper; temperament 
atitudi (=atitude) 1X,attitude; character (nature); disposition; mood; nature (characteristics); temper; temperament 
atizelo G,frightful 
atlas 1,atlas 
atle G,contest 
atleti 1+G,athlete 
atmeto G,uncut 
atmo 1G,vapor; air 
atmosferi 1+G,atmosphere 
atomi +G,atom 
atoni G,slack 
atopia G,absurdity 
atrakti +,attract; attractive 
atramenta,black fluid; ink 
atrapo G,road; way (road) 
atresto G,bold; fearless 
atri 1++,court; hall; courtyard; classroom; entrance (hall); hallway; lecture room; yard 
atri (prefer kavita) 1,cavity 
atributi +,attribute; ascribe 
atrio (=atri) 1X,court; hall; courtyard; classroom; entrance (hall); hallway; lecture room; yard 
atriu (=atri) 1X,court; hall 
atro 1+,black 
atro-rubi 1,dark-red 
atrocio,dreadful 
atrofi G,starved 
audaci 1++,dare; daring; venture 
audacio (=audaci) X,daring 
audi 1++,hear; listen; hark 
audi-abili 1+,aloud; audible; audibly 
audi-me,speaker (loud-speaker); loud-speaker 
plu audi-pe 1,audience 
auge 1,increase; grow; rise 
"auge (take lampa, lumi or radia) GX",shine 
auguri G,augur; soothsay 
Augusta (prefer meno okto) 1,August 
augusti,venerable 
"augusto (=Augusta, prefer meno okto) X",August 
auli,channel; pipe 
aureo 1,gold; golden 
auri 1,ear 
"auro (=aureo, prefer kriso) 1X",gold; golden 
aurora 1+,dawn 
"auskulta (Italian, take audi) X",listen 
auspici,divine (v) 
austeri,austere; harsh 
austra 1+G,south; southern 
austro (=austra) 1GX,south 
autarki G,self-rule 
auto 1++G,own (self); self; herself; himself; itself; myself; ourselves; themselves; yourself 
auto lauda (=auto-lauda) 1X,haughty; pride; proud; vanity 
auto strata (=auto-strata) X,highway 
auto- 1+G,(prefix:) self; self (prefix); (prefix:) own; own (prefix) 
auto-didakti G,self-taught 
auto-etio 1,shame; guilt 
auto-kritici 1++,conscience 
auto-kritiki (=auto-kritici) X,conscience 
auto-kura 1,self-interested 
auto-lauda 1++,haughty; pride; proud; vanity 
auto-strata,highway 
auto-veto 1,shy 
autokrati G,bossy 
automati 1++G,automatic; self-acting 
autonomi G,autonomous; autonomy; self-rule 
autori +G,author 
autoriti G,authority 
autorizi G,authorize 
autumna 1,autumn; fall (autumn) 
auxi 1++,help; advantage; aid; assist; grow (something); helpful 
auxi-demo 1G,ally (state) 
auxi-pe 1,ally (person) 
auximo (=auxi) X,help; grow (something) 
avalanca 1,avalanche 
avantage,advantage 
avanti 1++,forward; advance; ahead; forth; move forward ; forwards; onwards; pro 
avari 1+,greedy; avid; covetous; eager; stingy 
ave 1+,hail; hello; hullo 
avelana,hazelnut 
Avena 1+,oat; oats; porridge 
Avena farina 1,oat-meal 
aventura 1+,adventure 
avera,say something is true 
avergonia,put to shame 
aversio,dislike 
averte,turn away from 
avi 1++,bird 
avidi 1,avid; covetous; eager; greedy 
avunkulus,uncle 
axi 1+,axis; axle 
axila,armpit 
axioma G,axiom 
azale G,dry; parched 
azigo G,unpaired 
azimo (take minus zima) GX,without yeast 
azo G,nitrogen (N) 
azur 1,blue 
babax G,chatterer 
babi 1++,baby 
babi bovi (=babi-bovi) 1X,calf 
babi-bovi 1,calf 
babi-gresi 1,toddle 
babi-kli 1+,cot; cradle 
babi-vago (=babi-vagona) 1X,pram 
babi-vagona 1*,pram 
babili,chatter 
baburo G,silly 
baci 1++G,bar; baton; rod; staff (rod); stick (baton) 
bacilus 1+,bacillus; germ 
badi,brown 
badisti G,goer; walker 
baeno G,go; walk 
baeo (prefer pusi) G,little; scanty; small; tiny 
baetigo G,leech 
bagage (French),baggage 
bagatela,bagatelle; trifle 
bagoa G,eunuch 
baia 1++,bay; creek 
baka 1+,berry 
bakanali,orgy 
bakrio,ladle 
bakteria +,bacteria 
baktro,cane (stick); stick (cane) 
bakula,staff (rod); stick (cane) 
balada,ballad 
balanci,balance 
balano G,acorn 
balbu,stammer 
bale (=balet) 1X,ballet 
balena G,whale 
balet,ballet 
bali 1++G,throw; accelerate; cast (throw); dash (throw); fling; hurl; launch; post (send); send; toss 
bali ab 1++,dismiss; dispose 
bali e-posta,send e-mail 
bali ex 1++,banish; expel 
bali ex landa 1++,exile 
bali peri 1+,broadcast; sprinkle 
bali plu grama 1,dispatch 
bali se 1,dash (go violently) 
bali se a(d) 1,pounce (up)on; fly at; rush at 
bali-arma 1,sling 
balio G,dappled 
balkoni 1+,balcony 
balno +G,bath; bathe 
balota,ballot 
balota,toss about 
baluci,gold dust 
baluna 1++,balloon 
balustra,banister 
bambu 1,bamboo 
banali,banal; trite 
banana 1++,banana 
banda 1++,band; band (strip); bandage; ribbon; strip (band); tape 
banda-te 1,sash 
bandage 1,bandage; dressing (bandage) 
bandira,flag 
bandita,bandit 
bang 1,bang 
bani,bannish 
banka 1++,bank (money) 
banka-bileta 1+,bank note 
banka-rupta,bankrupt 
banketa,banquet 
bapti 1++G,baptize; dip 
baptiza (=bapti) GX,baptize 
bara +,bar (tavern) 
barage (French) 1++,barrage; dam (barrier) 
baratro G,abyss; gulf 
barba 1++,beard; whisker 
barbaro 1+,barbarous 
bari 1+G,heavy; important; grave (serious); impressive; massive 
barikada,barricade 
barila 1,barrel 
bario (=bari) 1GX,heavy; massive 
barira 1+,barrier; handicap 
barka,boat (small) 
baro 1+G,press (v); lean on; pressure; weigh 
baroni 1,baron 
basalti,basalt; igneous rock 
basamento,basement 
basanista G,investigator 
basano G,touchstone 
basi 1++G,grounds; reason (n); base; basis; found (v); proof 
basi-ka 1+,basement 
basidium G,pedestal 
basili G,king 
basilika G,palace 
basilisa,queen 
basina,basin 
basio,kiss 
baskula,weigh; swing 
baso 1,bottom; ground; on the ground ; base; basis; foundation; low; lower (v); soil 
basta (prefer sati),enough; stop! (enough!) 
"bastante (=basta, prefer sati) X",enough; stop! (enough!) 
bastona,staff (rod); stick (cane) 
bata,"bat (n, bat and ball) "
batalia,battle 
batalo G,anus; hind part 
bate 1++,bat; batter; beat; beating; hit; knock; smite; strike (hit); thrash (beat) 
bate manu 1+,clap hands 
bate-tem 1,innings 
bateri 1+,battery; utensils 
bati G,walk; walking 
bati (=bato) 1GX,deep (distance) 
batimento,beating; throb 
batmo G,step 
bato 1++G,deep (distance); depth (distance); batho- 
bato G,ray (fish); ray-fish; skate (fish) 
batraki,frog 
bauko G,affected; prude 
baxi G,rumor; rumour; saying 
bazar 1+,bazaar 
bdela G,leech 
bdelikto G,abominable 
bdolo G,stench 
beati,very happy 
bebro G,stupid 
bek (=beka) X,beak; peck; spout 
beka 1++,beak; peck; spout 
beko (=beka) X,beak; peck; spout 
belemno G,dart 
beli,beautiful 
belis,daisy 
ben ge-ski 1++,familiar 
ben! 1+,well! 
